n, x, pi, p
11, 4,0.3, 0.2201330439
11, 4,0.35, 0.242761389036
11, 4,0.4, 0.2364899328
11, 4,0.45, 0.206016887438
11, 4,0.5, 0.1611328125
11, 5,0.01, 4.34963829023e-08
11, 5,0.05, 0.000106128891709
11, 5,0.1, 0.00245525742
11, 5,0.15, 0.0132315836004
11, 5,0.2, 0.03875536896
11, 5,0.25, 0.0802989006042
11, 5,0.3, 0.13207982634
11, 5,0.35, 0.183004739427
11, 5,0.4, 0.22072393728
11, 5,0.45, 0.235982980156
11, 5,0.5, 0.2255859375
11, 6,0.01, 4.39357403054e-10
11, 6,0.05, 5.58573114258e-06
11, 6,0.1, 0.00027280638
11, 6,0.15, 0.00233498534124
11, 6,0.2, 0.00968884224
11, 6,0.25, 0.0267663002014
11, 6,0.3, 0.05660563986
11, 6,0.35, 0.0985410135378
11, 6,0.4, 0.14714929152
11, 6,0.45, 0.193076983764
11, 6,0.5, 0.2255859375
11, 7,0.01, 3.169966833e-12
11, 7,0.05, 2.09989892578e-07
11, 7,0.1, 2.16513e-05
11, 7,0.15, 0.00029432588335
11, 7,0.2, 0.0017301504
11, 7,0.25, 0.00637292861938
11, 7,0.3, 0.0173282571
11, 7,0.35, 0.0379003898222
11, 7,0.4, 0.0700710912
11, 7,0.45, 0.112837198304
11, 7,0.5, 0.1611328125
11, 8,0.01, 1.60099335e-14
11, 8,0.05, 5.52604980469e-09
11, 8,0.1, 1.20285e-06
11, 8,0.15, 2.59699308838e-05
11, 8,0.2, 0.0002162688
11, 8,0.25, 0.0010621547699
11, 8,0.3, 0.00371319795
11, 8,0.35, 0.010203951106
11, 8,0.4, 0.0233570304
11, 8,0.45, 0.0461606720333
11, 8,0.5, 0.08056640625
11, 9,0.01, 5.39055e-17
11, 9,0.05, 9.69482421875e-11
11, 9,0.1, 4.455e-08
11, 9,0.15, 1.52764299316e-06
11, 9,0.2, 1.80224e-05
11, 9,0.25, 0.000118017196655
11, 9,0.3, 0.00053045685
11, 9,0.35, 0.00183147840364
11, 9,0.4, 0.0051904512
11, 9,0.45, 0.0125892741909
11, 9,0.5, 0.02685546875
11, 10,0.01, 1.089e-19
11, 10,0.05, 1.0205078125e-12
11, 10,0.1, 9.9e-10
11, 10,0.15, 5.39168115234e-08
11, 10,0.2, 9.0112e-07
11, 10,0.25, 7.86781311035e-06
11, 10,0.3, 4.546773e-05
11, 10,0.35, 0.000197236135776
11, 10,0.4, 0.00069206016
11, 10,0.45, 0.00206006304942
11, 10,0.5, 0.00537109375
11, 11,0.01, 1e-22
11, 11,0.05, 4.8828125e-15
11, 11,0.1, 1e-11
11, 11,0.15, 8.64975585938e-10
11, 11,0.2, 2.048e-08
11, 11,0.25, 2.38418579102e-07
